2021-12-15 00:12:932 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> id: toggle-hp-search]
2021-12-15 00:12:157 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> id: salarymin]
2021-12-15 00:12:246 INFO  HomePage :101 - Entering maximum salary: 800
2021-12-15 00:12:356 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> id: salarytype]
2021-12-15 00:12:459 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> id: tempperm]
2021-12-15 00:12:604 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> id: hp-search-btn]
2021-12-15 00:12:575 INFO  ResultPage :32 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> xpath: //div[@class='search-header__title']]
2021-12-15 00:12:711 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 00:12:677 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> xpath: //button[@id='save']]
2021-12-15 00:12:251 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> id: keywords]
2021-12-15 00:12:442 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> id: location]
2021-12-15 00:12:650 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> id: distance]
2021-12-15 00:12:856 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> id: toggle-hp-search]
2021-12-15 00:12:223 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> id: salarymin]
2021-12-15 00:12:352 INFO  HomePage :101 - Entering maximum salary: 75000
2021-12-15 00:12:404 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> id: salarytype]
2021-12-15 00:12:510 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> id: tempperm]
2021-12-15 00:12:641 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> id: hp-search-btn]
2021-12-15 00:12:84 INFO  ResultPage :32 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (644ec0e0b43e1092e8bdc430fabb3d46)] -> xpath: //div[@class='search-header__title']]
